Model,Epoch,Train Loss,Train Accuracy,Validation Loss,Validation Accuracy
ViT (128 Batch),1,1.924963820874691,29.795,1.846463406085968,33.29
ViT (128 Batch),2,1.8064170137047768,34.465,1.7901694893836975,34.76
ViT (128 Batch),3,1.7513234961032866,36.46,1.7227995669841767,38.11
ViT (128 Batch),4,1.7094571313261986,38.1875,1.6883137476444245,39.3
ViT (128 Batch),5,1.670040085017681,39.795,1.6778606486320495,39.89
ViT (128 Batch),6,1.6429614824056626,40.995,1.6362437856197358,41.21
ViT (128 Batch),7,1.611746172308922,41.775,1.6247073304653168,41.29
ViT (128 Batch),8,1.5929386273026467,42.735,1.6320773184299469,41.45
ViT (128 Batch),9,1.5703482565283775,43.5875,1.6046940743923188,42.57
ViT (128 Batch),10,1.5502867513895036,44.26,1.5678728771209718,43.83
ViT (128 Batch),11,1.5254353669285774,45.125,1.5622553038597107,43.82
ViT (128 Batch),12,1.5115493988990785,45.5275,1.5574014830589293,44.37
ViT (128 Batch),13,1.4961955586075784,46.285,1.5306028389930726,45.09
ViT (128 Batch),14,1.4800125229358674,46.9325,1.5131049406528474,46.32
ViT (128 Batch),15,1.4676020884513854,47.445,1.5151264560222626,45.51
ViT (128 Batch),16,1.4567873540520668,47.4675,1.5308007633686065,45.36
ViT (128 Batch),17,1.4419710844755174,48.26,1.5040538036823272,46.05
ViT (128 Batch),18,1.4304558783769608,48.5375,1.509643827676773,46.42
ViT (128 Batch),19,1.4190032637119294,49.16,1.488083552122116,46.6
ViT (128 Batch),20,1.4109054216742516,49.2525,1.517338980436325,45.85
ViT (128 Batch),21,1.3996742698550224,49.82,1.4863477158546448,46.87
ViT (128 Batch),22,1.3862882480025291,50.0175,1.4942957675457,46.71
ViT (128 Batch),23,1.3789076545834542,50.565,1.4803412294387817,47.6
ViT (128 Batch),24,1.3742068430781365,50.455,1.4846295762062072,47.28
ViT (128 Batch),25,1.3650089919567108,51.0825,1.4681438541412353,47.44
ViT (100 Batch),1,1.9232606321573258,29.4975,1.8102913904190063,34.3
ViT (100 Batch),2,1.7952414602041245,34.7225,1.765737260580063,36.03
ViT (100 Batch),3,1.750962071120739,36.575,1.7277608978748322,37.89
ViT (100 Batch),4,1.710824519097805,37.78,1.7073878133296967,38.77
ViT (100 Batch),5,1.6762045362591744,39.1875,1.6616571855545044,40.91
ViT (100 Batch),6,1.6423516863584517,40.58,1.652684316635132,40.74
ViT (100 Batch),7,1.6207968425750732,42.0875,1.6319090807437897,41.34
ViT (100 Batch),8,1.5951525378227234,42.51,1.622939522266388,41.83
ViT (100 Batch),9,1.5756917333602904,43.4,1.5986514258384705,43.03
ViT (100 Batch),10,1.5521423035860062,44.285,1.5830606257915496,43.34
ViT (100 Batch),11,1.5304836508631707,45.13,1.57399618268013,44.21
ViT (100 Batch),12,1.518039245903492,45.1575,1.5743276286125183,43.44
ViT (100 Batch),13,1.501653303205967,46.0125,1.5887475645542144,43.21
ViT (100 Batch),14,1.4873083648085594,46.3775,1.544457367658615,44.58
ViT (100 Batch),15,1.4704513117671012,47.465,1.5478316009044648,44.9
ViT (100 Batch),16,1.460794478058815,47.3525,1.532946834564209,45.19
ViT (100 Batch),17,1.445720028281212,48.26,1.522451914548874,45.59
ViT (100 Batch),18,1.4392960521578788,48.4275,1.5333314907550812,45.66
ViT (100 Batch),19,1.4259392660856247,49.15,1.5069999527931213,46.17
ViT (100 Batch),20,1.4171035924553872,49.1875,1.5087974524497987,46.07
ViT (100 Batch),21,1.4067248198390008,49.46,1.4971689617633819,46.88
ViT (100 Batch),22,1.3923685589432717,50.0725,1.4937521195411683,46.65
ViT (100 Batch),23,1.384897235929966,50.3075,1.5110652363300323,46.39
ViT (100 Batch),24,1.3759881842136383,50.8225,1.5047995674610137,46.63
ViT (100 Batch),25,1.3660864964127541,50.94,1.5045517563819886,46.5
Vit (Small LR),1,2.0297149077057837,25.0625,1.936570725440979,29.81
Vit (Small LR),2,1.9088500532507897,30.545,1.8824067747592925,31.61
Vit (Small LR),3,1.862242934703827,32.4275,1.8415869641304017,33.63
Vit (Small LR),4,1.8237269997596741,33.6525,1.807141317129135,34.48
Vit (Small LR),5,1.797190397977829,35.0375,1.7909447133541108,35.04
Vit (Small LR),6,1.772675074338913,35.69,1.780872664451599,35.54
Vit (Small LR),7,1.754589329957962,36.6575,1.7564212048053742,36.42
Vit (Small LR),8,1.7398462969064712,37.1475,1.7410657453536986,37.27
Vit (Small LR),9,1.7223407238721848,37.7775,1.7336670887470245,36.97
Vit (Small LR),10,1.7072488856315613,38.2325,1.717651253938675,37.89
Vit (Small LR),11,1.6953848481178284,38.7725,1.709039170742035,38.3
Vit (Small LR),12,1.676909998357296,39.3675,1.686472121477127,38.79
Vit (Small LR),13,1.667183454334736,39.7375,1.682732731103897,39.55
Vit (Small LR),14,1.6527778670191764,40.4375,1.6893955743312836,39.46
Vit (Small LR),15,1.6423728826642037,40.815,1.6728935277462005,40.28
Vit (Small LR),16,1.6264933097362517,41.6725,1.6648461782932282,40.17
Vit (Small LR),17,1.6184798297286034,41.655,1.6570171451568603,40.99
Vit (Small LR),18,1.6065671348571777,41.9775,1.6340910851955415,41.01
Vit (Small LR),19,1.5996388816833496,42.3,1.6281676840782167,40.77
Vit (Small LR),20,1.5869538953900337,42.95,1.6229560029506684,42.14
Vit (Small LR),21,1.5826295605301857,42.9575,1.642022808790207,41.15
Vit (Small LR),22,1.5732415890693665,43.5625,1.6308632707595825,41.64
Vit (Small LR),23,1.5680354034900665,43.32,1.6189431190490722,41.94
Vit (Small LR),24,1.5581631666421891,43.9,1.6171518814563752,42.12
Vit (Small LR),25,1.5520905023813247,44.275,1.627095671892166,41.79
ViT (Large LR),1,2.1915195375680923,17.8375,2.0698406994342804,22.81
ViT (Large LR),2,2.0641607451438904,22.5025,2.009262330532074,24.82
ViT (Large LR),3,2.0144737669825554,25.1125,1.9801951384544372,26.31
ViT (Large LR),4,1.9885857534408569,25.9975,1.972573107481003,27.06
ViT (Large LR),5,1.9498549029231071,27.6175,1.9234572458267212,28.52
ViT (Large LR),6,1.886999381184578,30.17,1.8718772554397582,31.23
ViT (Large LR),7,1.8629174387454988,31.0275,1.8386017906665801,32.8
ViT (Large LR),8,1.8360580450296402,32.5025,1.8017257261276245,34.33
ViT (Large LR),9,1.8154820135235787,33.63,1.792426974773407,33.51
ViT (Large LR),10,1.7966172659397126,34.14,1.774419287443161,35.19
ViT (Large LR),11,1.782946151793003,34.63,1.7620672929286956,35.15
ViT (Large LR),12,1.772253473997116,35.31,1.764401535987854,35.14
ViT (Large LR),13,1.7660596305131913,35.3925,1.7222558152675629,37.47
ViT (Large LR),14,1.7536957734823226,35.95,1.7387846219539642,37.9
ViT (Large LR),15,1.7482009980082511,36.0725,1.7302018451690673,37.73
ViT (Large LR),16,1.7416872763633728,36.665,1.7234436666965485,37.77
ViT (Large LR),17,1.7362451520562172,36.565,1.7135721480846404,38.52
ViT (Large LR),18,1.7315005207061767,36.845,1.7050462508201598,39.05
ViT (Large LR),19,1.7234969359636307,36.88,1.7169557774066926,37.94
ViT (Large LR),20,1.722765928208828,37.635,1.6748020017147065,39.66
ViT (Large LR),21,1.7141134205460549,37.8225,1.696688404083252,37.62
ViT (Large LR),22,1.7137417688965797,37.7725,1.6952576649188995,38.73
