Model,Epoch,Train Loss,Train Accuracy,Validation Loss,Validation Accuracy
ViT (128 Batch),1,1.9310548904538154,27.8425,1.891640110015869,29.82
ViT (128 Batch),2,1.796817297935486,33.1875,1.759694368839264,34.63
ViT (128 Batch),3,1.7423749354481697,35.8525,1.7168398118019104,36.57
ViT (128 Batch),4,1.7038399305939675,37.585,1.694006484746933,38.32
ViT (128 Batch),5,1.6657508996129036,39.09,1.6701716554164887,39.08
ViT (128 Batch),6,1.6412430229783057,40.04,1.6228407800197602,40.51
ViT (128 Batch),7,1.6155769318342208,41.0475,1.6332079935073853,40.77
ViT (128 Batch),8,1.5903702622652054,41.935,1.6046523928642273,41.92
ViT (128 Batch),9,1.5696424999833107,42.995,1.5902950191497802,42.94
ViT (128 Batch),10,1.5486956492066384,43.71,1.5771948277950287,42.78
ViT (128 Batch),11,1.529428959786892,44.2975,1.5439216887950897,44.07
ViT (128 Batch),12,1.5183055838942527,44.685,1.5745944452285767,42.54
ViT (128 Batch),13,1.5033429083228111,45.3975,1.5406612408161164,44.13
ViT (128 Batch),14,1.4862346968054772,45.785,1.557704257965088,44.33
ViT (128 Batch),15,1.4745615538954735,46.485,1.5089176642894744,45.99
ViT (128 Batch),16,1.4608508667349815,47.1375,1.5299059796333312,44.87
ViT (128 Batch),17,1.4428938752412797,47.745,1.4964602541923524,46.08
ViT (128 Batch),18,1.4327431955933572,48.0025,1.4924950182437897,46.26
ViT (128 Batch),19,1.4289473628997802,48.4,1.4744523549079895,46.74
ViT (128 Batch),20,1.4098611190915107,48.8925,1.5078751838207245,45.43
ViT (128 Batch),21,1.405261335670948,49.22,1.4539020347595215,47.72
ViT (128 Batch),22,1.3928276294469832,49.5275,1.4619780039787293,47.72
ViT (128 Batch),23,1.3816561594605445,49.945,1.4773603367805481,46.86
ViT (128 Batch),24,1.3768530508875847,50.24,1.4526345241069794,47.93
ViT (128 Batch),25,1.3629776132106781,50.4525,1.4545923066139221,47.87
ViT (100 Batch),1,1.9287495350837707,28.0025,1.8568207180500031,30.73
ViT (100 Batch),2,1.7976518467068672,33.3675,1.7673366558551789,34.92
ViT (100 Batch),3,1.7482551735639573,35.3025,1.7524010479450225,36.15
ViT (100 Batch),4,1.717906261086464,36.7875,1.7471862101554871,35.05
ViT (100 Batch),5,1.6800139859318732,38.18,1.686804370880127,37.51
ViT (100 Batch),6,1.6515730714797974,39.4975,1.6649579477310181,39.59
ViT (100 Batch),7,1.6262929013371468,40.3825,1.6501092672348023,40.25
ViT (100 Batch),8,1.5980784314870835,41.36,1.618120379447937,40.74
ViT (100 Batch),9,1.5786074790358544,42.1025,1.615966432094574,42.32
ViT (100 Batch),10,1.5506385371088982,43.7,1.592445877790451,42.42
ViT (100 Batch),11,1.5343899032473565,44.055,1.5732945692539215,43.32
ViT (100 Batch),12,1.5181878328323364,44.835,1.5534332358837128,43.72
ViT (100 Batch),13,1.506410708129406,45.2025,1.5703196835517883,43.49
ViT (100 Batch),14,1.4883583137392997,45.735,1.5475621569156646,43.77
ViT (100 Batch),15,1.471423306465149,46.2725,1.5481720185279846,44.26
ViT (100 Batch),16,1.4617041864991187,46.84,1.5177329862117768,45.5
ViT (100 Batch),17,1.4490305402874946,47.505,1.4925096285343171,45.4
ViT (100 Batch),18,1.435902440547943,47.7975,1.4902483165264129,46.18
ViT (100 Batch),19,1.421953339278698,48.29,1.4861570751667024,46.1
ViT (100 Batch),20,1.412269952595234,48.75,1.4968113207817078,46.55
ViT (100 Batch),21,1.4018156462907791,49.1175,1.4514777255058289,47.4
ViT (100 Batch),22,1.3919452273845672,49.3775,1.4502747130393983,48.17
ViT (100 Batch),23,1.383949150443077,49.7425,1.4560655355453491,47.1
ViT (100 Batch),24,1.3718135771155358,49.9925,1.483949431180954,46.74
ViT (100 Batch),25,1.3622669249773025,50.5025,1.4370858156681061,48.14
Vit (Small LR),1,2.065220486819744,22.6075,1.9736968851089478,26.64
Vit (Small LR),2,1.9405750516057014,27.775,1.9188924062252044,29.23
Vit (Small LR),3,1.8954078722000123,29.8975,1.862232644557953,30.83
Vit (Small LR),4,1.8539615267515182,31.32,1.8288576900959015,32.48
Vit (Small LR),5,1.8109387564659118,33.3325,1.7850985145568847,34.36
Vit (Small LR),6,1.786873277425766,34.22,1.7657484340667724,34.96
Vit (Small LR),7,1.768256174325943,34.8675,1.764725397825241,35.23
Vit (Small LR),8,1.7469768247008324,35.7925,1.7580576574802398,35.17
Vit (Small LR),9,1.731483208835125,36.2775,1.7396584236621857,36.12
Vit (Small LR),10,1.7166063636541367,37.225,1.7287608587741852,36.36
Vit (Small LR),11,1.7075750920176507,36.9725,1.7072614228725433,37.46
Vit (Small LR),12,1.6938907113671302,37.855,1.697556495666504,38.45
Vit (Small LR),13,1.6843188333511352,38.3625,1.696578654050827,37.67
Vit (Small LR),14,1.6724439042806625,39.015,1.70671933054924,38.45
Vit (Small LR),15,1.658425117433071,39.255,1.6806663870811462,39.13
Vit (Small LR),16,1.6466399693489076,39.76,1.6706594562530517,39.02
Vit (Small LR),17,1.6391372513771056,39.99,1.6478062903881072,40.64
Vit (Small LR),18,1.6272948080301284,40.6875,1.6471768367290496,40.4
Vit (Small LR),19,1.6148908525705337,41.0475,1.6620556318759918,39.71
Vit (Small LR),20,1.6091844645142555,41.315,1.6214179754257203,40.66
Vit (Small LR),21,1.596853979229927,42.0675,1.6378893876075744,40.84
Vit (Small LR),22,1.588739314675331,42.2025,1.6163278007507325,41.73
Vit (Small LR),23,1.5825391775369644,42.6275,1.6241893243789673,41.47
Vit (Small LR),24,1.5735593149065972,42.5375,1.6067565393447876,41.91
Vit (Small LR),25,1.5705974239110947,42.755,1.6011538016796112,42.13
ViT (Large LR),1,2.240790319442749,15.465,2.205197021961212,16.16
ViT (Large LR),2,2.1682842493057253,17.395,2.1088548612594606,19.59
ViT (Large LR),3,2.1181977382302284,19.015,2.132181000709534,18.83
ViT (Large LR),4,2.1030721470713614,20.1775,2.077472252845764,21.43
ViT (Large LR),5,2.079480638206005,21.43,2.0664892160892485,22.08
ViT (Large LR),6,2.0625283721089365,21.9675,2.0628597891330718,21.61
ViT (Large LR),7,2.0379413974285128,22.53,2.1141113197803496,21.88
ViT (Large LR),8,2.0150947272777557,23.5875,1.9976521587371827,24.6
ViT (Large LR),9,1.9687273606657982,25.7425,1.9389184880256654,26.1
ViT (Large LR),10,1.9313864454627037,27.3425,1.9787626147270203,26.43
ViT (Large LR),11,1.8956082397699356,28.1975,1.8689594316482543,29.5
ViT (Large LR),12,1.876440560221672,29.545,1.8828087007999421,29.52
ViT (Large LR),13,1.8559693598747253,30.3125,1.8315439248085021,32.02
ViT (Large LR),14,1.834102368056774,31.2625,1.8175269842147828,31.86
ViT (Large LR),15,1.8072000813484193,32.1125,1.779543697834015,33.28
ViT (Large LR),16,1.7933438602089882,33.285,1.76204913854599,34.58
ViT (Large LR),17,1.7829803988337516,33.9525,1.7685508251190185,34.43
ViT (Large LR),18,1.7688378193974494,33.785,1.7416817188262939,35.23
ViT (Large LR),19,1.7519129571318626,34.7825,1.7212334787845611,36.57
ViT (Large LR),20,1.7446068912744521,34.9225,1.708875049352646,36.92
ViT (Large LR),21,1.7338786900043488,35.625,1.6877412855625153,38.37
ViT (Large LR),22,1.7250319370627403,36.1625,1.6948757231235505,37.34
ViT (Large LR),23,1.7161393821239472,36.5475,1.6741684210300445,38.67
ViT (Large LR),24,1.7046544420719147,36.555,1.6833877336978913,38.51
ViT (Large LR),25,1.7003860872983934,36.91,1.676141220331192,39.09
ViT (More Dropout),1,1.9793132635951043,26.0975,1.880596214532852,30.39
ViT (More Dropout),2,1.859505581855774,31.14,1.8108935379981994,33.0
ViT (More Dropout),3,1.8190890577435495,32.645,1.812642332315445,33.41
ViT (More Dropout),4,1.7914715281128883,33.745,1.7856039583683014,33.84
ViT (More Dropout),5,1.772717100083828,34.3875,1.785969032049179,34.63
ViT (More Dropout),6,1.7517869883775712,35.04,1.7718240380287171,36.03
ViT (More Dropout),7,1.7361105024814605,35.835,1.7735414445400237,35.72
ViT (More Dropout),8,1.7285704836249352,36.1775,1.7334424614906312,37.31
ViT (More Dropout),9,1.7080847170948983,36.795,1.713659292459488,38.35
ViT (More Dropout),10,1.6914868584275247,37.7925,1.722635291814804,38.26
ViT (More Dropout),11,1.6788317283988,38.195,1.7109404361248017,38.92
ViT (More Dropout),12,1.6631289166212082,39.1825,1.6743909108638764,38.83
ViT (More Dropout),13,1.6538274610042571,39.1175,1.6878272211551666,39.33
ViT (More Dropout),14,1.6393677097558976,39.98,1.6677003824710845,40.25
